time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1906-04-18T13:12:27.700Z,37.75,-122.55,11.7,7.9,mw,,,,,official,official19060418131226300_12,2019-05-02T22:06:42.941Z,The 1906 San Francisco Earthquake,earthquake,10,7,,,reviewed,official,official
1952-07-21T11:52:15.460Z,34.9581667,-118.998,6,7.5,mw,8,146,,0.39,ci,ci3319401,2018-06-04T20:43:44.000Z,"6km WNW of Grapevine, CA",earthquake,1.42,31.61,,0,reviewed,ci,ci
1992-06-28T11:57:34.130Z,34.2,-116.437,-0.097,7.3,mw,0,43.4,,0.194,ci,ci3031111,2019-10-18T03:09:09.708Z,"Landers, California Earthquake",earthquake,,0.31,,0,reviewed,ci,ci
1922-01-31T13:17:31.000Z,41.115,-125.54,15,7.3,mw,,,,,iscgem,iscgem911811,2019-05-03T00:18:22.148Z,off the coast of Northern California,earthquake,,,,,automatic,iscgem,iscgem
1954-12-16T11:07:11.000Z,39.283,-118.117,15,7.26,mw,,,,,ushis,ushis1985,2018-06-04T20:43:44.000Z,Nevada,earthquake,,,,,reviewed,ushis,hht
2005-06-15T02:50:54.190Z,41.292,-125.953,16,7.2,mwc,420,31.4,,1.2,us,usp000dt25,2017-11-08T18:28:43.423Z,off the coast of Northern California,earthquake,,,,,reviewed,us,hrv
1954-04-29T11:34:39.000Z,29.112,-113.024,10,7.2,mw,,,,,iscgem,iscgem890579,2015-05-13T18:52:48.000Z,"Baja California, Mexico",earthquake,,,,,automatic,iscgem,iscgem
1992-04-25T18:06:05.180Z,40.3353333,-124.2286667,9.856,7.2,mh,9,115,0.1072,0.07,nc,nc269151,2018-11-09T19:03:06.380Z,"20km SSW of Rio Dell, California",earthquake,0.33,0.64,,0,reviewed,nc,nc
1980-11-08T10:27:34.000Z,41.117,-124.253,19,7.2,mw,,,,,us,usp0001aq1,2018-06-04T20:43:45.000Z,offshore Northern California,earthquake,,,,,reviewed,us,1023
2010-04-04T22:40:42.360Z,32.2861667,-115.2953333,9.987,7.2,mw,10,239,0.5137,0.11,ci,ci14607652,2019-11-12T19:47:10.692Z,"12km SW of Delta, B.C., MX",earthquake,1.81,31.61,,0,reviewed,ci,ci
1999-10-16T09:46:44.460Z,34.6033333,-116.265,13.73,7.1,mw,73,57,,0.31,ci,ci9108652,2017-04-26T17:56:24.046Z,"16km SW of Ludlow, CA",earthquake,0.35,31.61,,0,reviewed,ci,ci
2019-07-06T03:19:53.040Z,35.7695,-117.5993333,8,7.1,mw,77,43,0.04616,0.22,ci,ci38457511,2019-11-14T22:15:06.557Z,2019 Ridgecrest Earthquake Sequence,earthquake,0.19,31.61,,0,reviewed,ci,ci
1991-08-17T22:17:09.970Z,41.679,-125.856,1.303,7,mh,90,295,1.473,0.09,nc,nc228064,2016-12-18T14:45:52.534Z,"136km WSW of Brookings, Oregon",earthquake,1.73,11.06,,0,reviewed,nc,nc
1939-05-02T13:14:54.000Z,29.268,-113.54,10,7,mw,,,,,iscgemsup,iscgemsup901929,2015-07-13T17:02:22.000Z,"Baja California, Mexico",earthquake,,,,,automatic,iscgem,iscgem
2012-04-12T07:15:48.500Z,28.696,-113.104,13,7,mww,474,95.9,,1.18,us,usp000jhr6,2017-11-14T14:45:02.908Z,"Baja California, Mexico",earthquake,,,,,reviewed,us,us
1915-11-21T00:13:42.000Z,32,-115,,6.95,mw,,,,,ushis,ushis579,2018-06-04T20:43:44.000Z,"Sonora, Mexico",earthquake,,,,,reviewed,ushis,hht
1954-12-16T11:11:34.000Z,39.8,-118.1,40,6.92,mw,,,,,ushis,ushis1986,2018-06-04T20:43:44.000Z,Nevada,earthquake,,,,,reviewed,ushis,saw
1983-10-28T14:06:06.610Z,44.058,-113.857,10,6.9,mw,,,,1.1,us,usp0001zbv,2018-06-04T20:43:45.000Z,southern Idaho,earthquake,,,,,reviewed,us,nc
1991-07-13T02:50:14.690Z,42.182,-125.641,11,6.9,mw,,,,1,us,usp0004u34,2016-11-10T00:40:12.752Z,off the coast of Oregon,earthquake,,,,,reviewed,us,par
1923-01-22T09:04:20.000Z,40.377,-125.118,15,6.9,mw,,,,,iscgem,iscgem911261,2019-05-03T19:48:00.655Z,offshore Northern California,earthquake,,,,,automatic,iscgem,iscgem
1927-11-04T13:51:03.000Z,34.813,-120.774,10,6.9,mw,,,,,iscgem,iscgem909604,2019-05-03T21:24:54.840Z,offshore Central California,earthquake,,,,,automatic,iscgem,iscgem
1940-05-19T04:36:41.500Z,32.8441667,-115.381,6,6.9,mw,7,300,,0.42,ci,ci3365279,2018-06-04T20:43:44.000Z,"4km N of Holtville, CA",earthquake,12.77,31.61,,0,reviewed,ci,ci
2009-08-03T17:59:56.170Z,29.039,-112.903,10,6.9,mwc,243,35,,1.29,us,usp000gzyb,2017-04-13T22:23:44.390Z,"Sonora, Mexico",earthquake,,,,,reviewed,us,gcmt
